,client_id,sum
0,58969.1668164031,1
1,185890.1668467195,1
2,226522.1668748316,1
3,333879.1667343453,1
4,382071.1669117794,1
5,510802.1626469256,1
6,563282.1667188097,1
7,882498.166748875,1
8,994961.1667410675,1
9,1010279.1667274744,1
10,1015492.166866616,2
11,1037147.1668763432,1
12,1131624.166840942,1
13,1223475.1669490095,1
14,1296763.166813437,2
15,1373461.1668961083,1
16,1431518.166735279,1
17,1686016.1668510265,1
18,1701860.1669192717,1
19,1762802.166961448,3
20,2063527.166884468,3
21,2101283.1669280874,1
22,2577652.1662154426,1
23,2639794.166927022,1
24,2701370.1667475966,1
25,2844691.166896345,1
26,3153879.1668492043,10
27,3244574.166737113,1
28,3265252.165536016,2
29,3770229.166746864,1
30,3902412.16692966,1
31,4218736.166896772,1
32,4525176.166875551,1
33,4609785.16654066,1
34,5033758.166824505,1
35,5080946.166901432,1
36,5119131.166837525,1
37,5267271.166916384,1
38,5290900.166936135,1
39,5479524.166765602,1
40,5879154.166071284,1
41,5900481.166910604,1
42,6029200.166754958,2
43,6095255.166709709,1
44,6173230.16544813,1
45,6484289.16693466,1
46,6677111.166841495,1
47,6716325.166746257,1
48,6726577.165713546,1
49,6825476.166765625,1
50,6829751.16673778,1
51,6849058.166888624,1
52,6945784.166885956,1
53,7027844.163111188,1
54,7199859.166754888,1
55,7425018.166940656,2
56,7665194.1667295005,1
57,8022430.166920198,1
58,8441742.166754033,1
59,8506646.166814558,1
60,8621524.166845368,1
61,8713667.162512189,1
62,9086815.166743359,1
63,9203119.16673584,1
64,9289274.166865053,1
65,9570981.16680028,1
66,9607571.166150266,2
67,9650070.166954003,1
68,9738007.166827226,1
69,9785200.166889824,1
70,9798261.166952545,1
71,10389648.16622626,3
72,10683974.166709082,4
73,10803669.163765578,1
74,10828523.166764949,1
75,10907804.166746939,1
76,10918282.166790752,1
77,10999718.166905183,1
78,11049269.166753864,1
79,11210273.166752182,1
80,11315689.166909792,3
81,11431826.166731909,1
82,11697254.16691315,1
83,11964654.166919492,1
84,12253075.166825935,1
85,12260800.166926682,1
86,12267503.166955443,1
87,12349546.16684504,1
88,12390793.166927159,4
89,12433286.16578165,1
90,12702343.166947491,1
91,12702412.166826123,1
92,13027735.16627152,1
93,13162429.166946763,1
94,13389296.166903308,1
95,13393875.166858476,1
96,13451267.166945428,1
97,13477881.166263828,1
98,13478509.166421834,1
99,13524432.166817112,1
100,13697144.166727398,5
101,14104120.166401884,2
102,14346277.166844642,1
103,14690652.16687648,1
104,14737184.166817984,1
105,15261815.166833596,2
106,15292665.164430115,1
107,15340666.166932551,1
108,15379384.166876905,1
109,15392646.166930703,1
110,15428920.166927371,2
111,15765252.166747423,1
112,15991806.16653674,1
113,15995366.166896015,1
